job_id,trade_index,entry_date,exit_date,direction,status,duration,symbol,side,qty,entry_price,exit_price,gross_entry,gross_exit,pnl,costs,net_profit,running_equity
BTC-USD+SI=F / XRP-USD+SOL-USD,1,2021-06-16,2021-07-19,up,expired,22,BTC-USD,BUY,1.3036852562044354,38347.0625,30817.83203125,99985.0,85360.62238440657,-14624.377615593436,27.80184335766098,-14652.179458951097,85347.8205410489
BTC-USD+SI=F / XRP-USD+SOL-USD,1,2021-06-16,2021-07-19,up,expired,22,SI=F,BUY,1798.291416258542,27.799999237060547,25.125999450683594,99985.0,85360.62238440657,-14624.377615593436,27.80184335766098,-14652.179458951097,85347.8205410489
BTC-USD+SI=F / XRP-USD+SOL-USD,2,2021-07-19,2021-08-16,down,expired,20,XRP-USD,BUY,76525.96346341711,0.5575559735298157,1.1909929513931274,85335.01611830526,200103.09991287638,114768.08379457111,42.815717404677244,114725.26807716643,200073.08861821535
BTC-USD+SI=F / XRP-USD+SOL-USD,2,2021-07-19,2021-08-16,down,expired,20,SOL-USD,BUY,1745.2653443711772,24.44757652282715,62.432464599609375,85335.01611830526,200103.09991287638,114768.08379457111,42.815717404677244,114725.26807716643,200073.08861821535
BTC-USD+SI=F / XRP-USD+SOL-USD,3,2021-08-16,2022-01-07,up,expired,101,BTC-USD,BUY,2.174169281570415,46004.484375,41557.90234375,200043.07348522227,184545.76241531133,-15497.311069910937,57.688325385080034,-15554.999395296018,184518.08922291934
BTC-USD+SI=F / XRP-USD+SOL-USD,3,2021-08-16,2022-01-07,up,expired,101,SI=F,BUY,4206.120010702175,23.780000686645508,22.393999099731445,200043.07348522227,184545.76241531133,-15497.311069910937,57.688325385080034,-15554.999395296018,184518.08922291934
BTC-USD+SI=F / XRP-USD+SOL-USD,4,2022-01-07,2022-03-30,down,expired,56,XRP-USD,BUY,120886.31474726195,0.7630739808082581,0.8608139753341675,184490.4028388664,185686.13104101762,1195.728202151211,55.5264800819826,1140.2017220692285,185658.29094498858
BTC-USD+SI=F / XRP-USD+SOL-USD,4,2022-01-07,2022-03-30,down,expired,56,SOL-USD,BUY,676.2705023409535,136.40281677246094,120.6994857788086,184490.4028388664,185686.13104101762,1195.728202151211,55.5264800819826,1140.2017220692285,185658.29094498858
BTC-USD+SI=F / XRP-USD+SOL-USD,5,2022-03-30,2022-05-09,up,expired,27,BTC-USD,BUY,1.9721623613691202,47062.6640625,30296.953125,185630.42937964326,140286.73802125806,-45343.69135838519,48.88757511013519,-45392.57893349532,140265.71201149325
BTC-USD+SI=F / XRP-USD+SOL-USD,5,2022-03-30,2022-05-09,up,expired,27,SI=F,BUY,3697.3753065485357,25.10300064086914,21.781999588012695,185630.42937964326,140286.73802125806,-45343.69135838519,48.88757511013519,-45392.57893349532,140265.71201149325
BTC-USD+SI=F / XRP-USD+SOL-USD,6,2022-05-09,2022-07-18,down,expired,47,XRP-USD,BUY,142253.2688543073,0.4929400086402893,0.3661769926548004,140244.65515630328,100574.13642768498,-39670.51872861831,36.12281873759824,-39706.64154735592,100559.07046413733
BTC-USD+SI=F / XRP-USD+SOL-USD,6,2022-05-09,2022-07-18,down,expired,47,SOL-USD,BUY,1108.3090217540218,63.2696533203125,43.746158599853516,140244.65515630328,100574.13642768498,-39670.51872861831,36.12281873759824,-39706.64154735592,100559.07046413733
BTC-USD+SI=F / XRP-USD+SOL-USD,7,2022-07-18,2022-08-24,up,expired,27,BTC-USD,BUY,2.235732345660885,22485.689453125,21395.01953125,100543.96644967474,98383.75419604569,-2160.2122536290553,29.839158096858064,-2190.051411725913,98369.01905241142
BTC-USD+SI=F / XRP-USD+SOL-USD,7,2022-07-18,2022-08-24,up,expired,27,SI=F,BUY,2675.322348204197,18.791000366210938,18.895000457763672,100543.96644967474,98383.75419604569,-2160.2122536290553,29.839158096858064,-2190.051411725913,98369.01905241142
BTC-USD+SI=F / XRP-USD+SOL-USD,8,2022-08-24,2023-01-17,down,expired,99,XRP-USD,BUY,142070.86645362718,0.34614500403404236,0.3877109885215759,98354.24128342135,87274.63980728528,-11079.601476136068,27.84433216360599,-11107.445808299673,87261.57324411174
BTC-USD+SI=F / XRP-USD+SOL-USD,8,2022-08-24,2023-01-17,down,expired,99,SOL-USD,BUY,1406.7520579969596,34.957916259765625,22.884063720703125,98354.24128342135,87274.63980728528,-11079.601476136068,27.84433216360599,-11107.445808299673,87261.57324411174
BTC-USD+SI=F / XRP-USD+SOL-USD,9,2023-01-17,2023-03-08,up,expired,35,BTC-USD,BUY,2.0614885252020643,21161.51953125,21718.080078125,87248.45937902249,81219.22862679767,-6029.230752224806,25.270153200873025,-6054.500905425679,81207.07233868606
